SiteID,CompanyCode,ARSubledgerCode,PartNumber,WarehouseCode,TransactionDate,LineNumber,TransactionType,ReferenceNumber,ReferenceDescription,Quantity,AllocationType,AllocationCompany,AllocationAccount,Notes,APSubledgerCode,SupplierCode,PurchaseOrderNumber,UnitCost,InventoryCost,ETLUserID,ETLDateCreated,ETLDateModified
ADVDAS,AD,AR,11/4UNION,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,7,,,,,,,,0,8.06,LUKE,2016-12-08 16:39:35,2016-12-08 16:39:35
ADVDAS,AD,AR,1208471,MAIN,2016-11-24 00:00:00,01,RP,IN0001,000001 LON ADAIR,1,,,,,AP,ADAIR,000001,1.15,1.15,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1222379,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,0.84,LUKE,2016-12-08 16:39:38,2016-12-08 16:39:38
ADVDAS,AD,AR,1400901,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,509,,,,,,,,0,0.659,LUKE,2016-12-08 16:39:44,2016-12-08 16:39:44
ADVDAS,AD,AR,15-V3108-09,MAIN,2016-11-24 00:00:00,01,RP,IN0004,000004 ALBRECHT'S CHAIN SAW SE,1,,,,,AP,ALBREC,000004,51.22,51.22,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1912504,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,5,,,,,,,,0,15.5,LUKE,2016-12-08 16:39:55,2016-12-08 16:39:55
ADVDAS,AD,AR,1916626,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,70,,,,,,,,0,0.046,LUKE,2016-12-08 16:39:56,2016-12-08 16:39:56
ADVDAS,AD,AR,1917660,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,117,,,,,,,,0,5.12,LUKE,2016-12-08 16:39:57,2016-12-08 16:39:57
ADVDAS,AD,AR,1931818,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,20,,,,,,,,0,1.482,LUKE,2016-12-08 16:39:59,2016-12-08 16:39:59
ADVDAS,AD,AR,1931824,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,10,,,,,,,,0,1.842,LUKE,2016-12-08 16:40:00,2016-12-08 16:40:00
ADVDAS,AD,AR,1931826,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,21,,,,,,,,0,1.423,LUKE,2016-12-08 16:40:01,2016-12-08 16:40:01
ADVDAS,AD,AR,1931828,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,44,,,,,,,,0,4.438,LUKE,2016-12-08 16:40:03,2016-12-08 16:40:03
ADVDAS,AD,AR,1931833,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,32,,,,,,,,0,1.842,LUKE,2016-12-08 16:40:04,2016-12-08 16:40:04
ADVDAS,AD,AR,1931835,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,8,,,,,,,,0,1.54,LUKE,2016-12-08 16:40:06,2016-12-08 16:40:06
ADVDAS,AD,AR,1931838,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,11,,,,,,,,0,3.661,LUKE,2016-12-08 16:40:08,2016-12-08 16:40:08
ADVDAS,AD,AR,1931839,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,12,,,,,,,,0,1.635,LUKE,2016-12-08 16:40:11,2016-12-08 16:40:11
ADVDAS,AD,AR,1931919,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,20,,,,,,,,0,1.85,LUKE,2016-12-08 16:40:11,2016-12-08 16:40:11
ADVDAS,AD,AR,1931922,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,5,,,,,,,,0,0.475,LUKE,2016-12-08 16:40:13,2016-12-08 16:40:13
ADVDAS,AD,AR,1931924,MAIN,2016-11-24 00:00:00,01,RP,IN0001,000001 LON ADAIR,5,,,,,AP,ADAIR,000001,1.002,1.002,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1931925,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,0.86,LUKE,2016-12-08 16:40:15,2016-12-08 16:40:15
ADVDAS,AD,AR,1931930,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,5,,,,,,,,0,0.722,LUKE,2016-12-08 16:40:16,2016-12-08 16:40:16
ADVDAS,AD,AR,1980311,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,8,,,,,,,,0,29.484,LUKE,2016-12-08 16:40:19,2016-12-08 16:40:19
ADVDAS,AD,AR,1988201,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,1.36,LUKE,2016-12-08 16:40:20,2016-12-08 16:40:20
ADVDAS,AD,AR,1988213,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,5,,,,,,,,0,13.46,LUKE,2016-12-08 16:40:22,2016-12-08 16:40:22
ADVDAS,AD,AR,"24""PRESSUREHOSE",MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,29,LUKE,2016-12-08 16:40:25,2016-12-08 16:40:25
ADVDAS,AD,AR,2402-012-007,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,10.57,LUKE,2016-12-08 17:04:39,2016-12-08 17:04:39
ADVDAS,AD,AR,2402-012-010,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,4.16,LUKE,2016-12-08 17:04:39,2016-12-08 17:04:39
ADVDAS,AD,AR,2431-010-007,MAIN,2016-11-24 00:00:00,01,RP,IN0004,000004 ALBRECHT'S CHAIN SAW SE,1,,,,,AP,ALBREC,000004,1.88,1.88,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,2431-010-007,MAIN,2016-12-08 00:00:00,01,CA,,* Inventory Upload,1,,,,,,,,0,1.88,LUKE,2016-12-08 17:04:39,2016-12-08 17:04:39
ADVDAS,AD,AR,2431-012-010,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,5,,,,,,,,0,2.63,LUKE,2016-12-08 17:04:39,2016-12-08 17:04:39
ADVDAS,AD,AR,"3/4X3/4,BARB,90",MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,15,LUKE,2016-12-08 16:40:30,2016-12-08 16:40:30
ADVDAS,AD,AR,3402-010-005,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,20,,,,,,,,0,4.04,LUKE,2016-12-08 17:04:40,2016-12-08 17:04:40
ADVDAS,AD,AR,3431-015-010,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,6.97,LUKE,2016-12-08 17:04:41,2016-12-08 17:04:41
ADVDAS,AD,AR,3439-007-002,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,1.13,LUKE,2016-12-08 17:04:41,2016-12-08 17:04:41
ADVDAS,AD,AR,3439-007-003,MAIN,2016-11-24 00:00:00,01,RP,IN0004,000004 ALBRECHT'S CHAIN SAW SE,1,,,,,AP,ALBREC,000004,1.16,1.16,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,3439-007-003,MAIN,2016-12-08 00:00:00,01,CA,,* Inventory Upload,5,,,,,,,,0,1.16,LUKE,2016-12-08 17:04:41,2016-12-08 17:04:41
ADVDAS,AD,AR,3439-007-005,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,13,,,,,,,,0,1.13,LUKE,2016-12-08 17:04:42,2016-12-08 17:04:42
ADVDAS,AD,AR,3439-010-005,MAIN,2016-11-24 00:00:00,01,RP,IN0006,000010 LON ADAIR,135,,,,,AP,ADAIR,000010,1.88,1.88,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,3439-010-005,MAIN,2016-12-08 00:00:00,01,CA,,* Inventory Upload,4,,,,,,,,0,1.88,LUKE,2016-12-08 17:04:42,2016-12-08 17:04:42
ADVDAS,AD,AR,3439-010-007,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,1.69,LUKE,2016-12-08 17:04:42,2016-12-08 17:04:42
ADVDAS,AD,AR,3439-012-010,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,17,,,,,,,,0,2.06,LUKE,2016-12-08 17:04:42,2016-12-08 17:04:42
ADVDAS,AD,AR,3439-015-010,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,13,,,,,,,,0,4.05,LUKE,2016-12-08 17:04:42,2016-12-08 17:04:42
ADVDAS,AD,AR,3550833,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,104,,,,,,,,0,1.59,LUKE,2016-12-08 16:40:40,2016-12-08 16:40:40
ADVDAS,AD,AR,3551204,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,13,,,,,,,,0,2.26,LUKE,2016-12-08 16:40:41,2016-12-08 16:40:41
ADVDAS,AD,AR,3551346,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,9,,,,,,,,0,6.34,LUKE,2016-12-08 16:40:45,2016-12-08 16:40:45
ADVDAS,AD,AR,3551793,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,8,,,,,,,,0,7.63,LUKE,2016-12-08 16:40:47,2016-12-08 16:40:47
ADVDAS,AD,AR,3551812,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,50,,,,,,,,0,0.94,LUKE,2016-12-08 16:40:49,2016-12-08 16:40:49
ADVDAS,AD,AR,3551827,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,23.08,LUKE,2016-12-08 16:40:50,2016-12-08 16:40:50
ADVDAS,AD,AR,3551909,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,33,,,,,,,,0,4.33,LUKE,2016-12-08 16:40:51,2016-12-08 16:40:51
ADVDAS,AD,AR,3552033,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,10.089,LUKE,2016-12-08 16:40:53,2016-12-08 16:40:53
ADVDAS,AD,AR,3552034,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,1135.55,LUKE,2016-12-08 16:40:54,2016-12-08 16:40:54
ADVDAS,AD,AR,3552092,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,28,,,,,,,,0,3.72,LUKE,2016-12-08 16:40:55,2016-12-08 16:40:55
ADVDAS,AD,AR,3552097,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,12.61,LUKE,2016-12-08 16:40:56,2016-12-08 16:40:56
ADVDAS,AD,AR,3552114,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,9.7,LUKE,2016-12-08 16:40:57,2016-12-08 16:40:57
ADVDAS,AD,AR,3552131,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,30.043,LUKE,2016-12-08 16:41:00,2016-12-08 16:41:00
ADVDAS,AD,AR,3552132,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,132.916,LUKE,2016-12-08 16:41:00,2016-12-08 16:41:00
ADVDAS,AD,AR,3552153,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,415.58,LUKE,2016-12-08 16:41:02,2016-12-08 16:41:02
ADVDAS,AD,AR,3552154,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,6.834,LUKE,2016-12-08 16:41:03,2016-12-08 16:41:03
ADVDAS,AD,AR,3552288,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,81.68,LUKE,2016-12-08 16:41:06,2016-12-08 16:41:06
ADVDAS,AD,AR,3552525,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,42.35,LUKE,2016-12-08 16:41:09,2016-12-08 16:41:09
ADVDAS,AD,AR,3552570,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,12,,,,,,,,0,4.64,LUKE,2016-12-08 16:41:11,2016-12-08 16:41:11
ADVDAS,AD,AR,3553068,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,21.9,LUKE,2016-12-08 16:41:12,2016-12-08 16:41:12
ADVDAS,AD,AR,3553278,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,44,,,,,,,,0,4.51,LUKE,2016-12-08 16:41:15,2016-12-08 16:41:15
ADVDAS,AD,AR,3553300,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,10.73,LUKE,2016-12-08 16:41:16,2016-12-08 16:41:16
ADVDAS,AD,AR,3553433,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,140.39,LUKE,2016-12-08 16:41:18,2016-12-08 16:41:18
ADVDAS,AD,AR,3553692,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,35,,,,,,,,0,5.71,LUKE,2016-12-08 16:41:19,2016-12-08 16:41:19
ADVDAS,AD,AR,3553706,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,17,,,,,,,,0,13.455,LUKE,2016-12-08 16:41:22,2016-12-08 16:41:22
ADVDAS,AD,AR,3553772,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,37,,,,,,,,0,7.52,LUKE,2016-12-08 16:41:22,2016-12-08 16:41:22
ADVDAS,AD,AR,3553786,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,143,,,,,,,,0,3.469,LUKE,2016-12-08 16:41:24,2016-12-08 16:41:24
ADVDAS,AD,AR,3553801,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,11,,,,,,,,0,9.396,LUKE,2016-12-08 16:41:28,2016-12-08 16:41:28
ADVDAS,AD,AR,3553863,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,7,,,,,,,,0,21.95,LUKE,2016-12-08 16:41:30,2016-12-08 16:41:30
ADVDAS,AD,AR,3554142,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,818.66,LUKE,2016-12-08 16:41:32,2016-12-08 16:41:32
ADVDAS,AD,AR,3554177,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,13.26,LUKE,2016-12-08 16:41:34,2016-12-08 16:41:34
ADVDAS,AD,AR,3554186,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,13,,,,,,,,0,9.58,LUKE,2016-12-08 16:41:35,2016-12-08 16:41:35
ADVDAS,AD,AR,3554211,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,8.93,LUKE,2016-12-08 16:41:37,2016-12-08 16:41:37
ADVDAS,AD,AR,3554279,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,12.54,LUKE,2016-12-08 16:41:37,2016-12-08 16:41:37
ADVDAS,AD,AR,3554281,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,23,,,,,,,,0,0.34,LUKE,2016-12-08 16:41:40,2016-12-08 16:41:40
ADVDAS,AD,AR,3554312,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,9.72,LUKE,2016-12-08 16:41:42,2016-12-08 16:41:42
ADVDAS,AD,AR,3554313,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,7,,,,,,,,0,4.19,LUKE,2016-12-08 16:41:43,2016-12-08 16:41:43
ADVDAS,AD,AR,3554347,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,77.93,LUKE,2016-12-08 16:41:47,2016-12-08 16:41:47
ADVDAS,AD,AR,3554355,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,179,,,,,,,,0,4.25,LUKE,2016-12-08 16:41:47,2016-12-08 16:41:47
ADVDAS,AD,AR,3554396,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,15,,,,,,,,0,10.74,LUKE,2016-12-08 16:41:48,2016-12-08 16:41:48
ADVDAS,AD,AR,3554444,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,9.78,LUKE,2016-12-08 16:41:51,2016-12-08 16:41:51
ADVDAS,AD,AR,3554788,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,18,,,,,,,,0,6.84,LUKE,2016-12-08 16:41:51,2016-12-08 16:41:51
ADVDAS,AD,AR,3555077,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,204.98,LUKE,2016-12-08 16:41:59,2016-12-08 16:41:59
ADVDAS,AD,AR,3555092,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,100.48,LUKE,2016-12-08 16:42:00,2016-12-08 16:42:00
ADVDAS,AD,AR,3555388,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,208.076,LUKE,2016-12-08 16:42:04,2016-12-08 16:42:04
ADVDAS,AD,AR,3555485,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,35.03,LUKE,2016-12-08 16:42:06,2016-12-08 16:42:06
ADVDAS,AD,AR,3555487,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,6,,,,,,,,0,13.524,LUKE,2016-12-08 16:42:07,2016-12-08 16:42:07
ADVDAS,AD,AR,3555509,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,4,,,,,,,,0,189.36,LUKE,2016-12-08 16:42:09,2016-12-08 16:42:09
ADVDAS,AD,AR,3555617,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,9.99,LUKE,2016-12-08 16:42:12,2016-12-08 16:42:12
ADVDAS,AD,AR,3555741,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,6,,,,,,,,0,105.252,LUKE,2016-12-08 16:42:15,2016-12-08 16:42:15
ADVDAS,AD,AR,3555850,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,2,,,,,,,,0,0,LUKE,2016-12-08 16:42:16,2016-12-08 16:42:16
ADVDAS,AD,AR,3555854,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,47.78,LUKE,2016-12-08 16:42:18,2016-12-08 16:42:18
ADVDAS,AD,AR,3555933,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,128.74,LUKE,2016-12-08 16:42:20,2016-12-08 16:42:20
ADVDAS,AD,AR,3556113,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,51.78,LUKE,2016-12-08 16:42:22,2016-12-08 16:42:22
ADVDAS,AD,AR,3556147,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,67,,,,,,,,0,9.212,LUKE,2016-12-08 16:42:23,2016-12-08 16:42:23
